PartNumber,lengthY,widthX,height,padY,padX,landingY,landingInsideX,landingX
MAPI-1610,1.6,1.6,1,1.6,0.5,1.8,0.4,0.7
MAPI-2010,1.6,2,1,1.6,0.6,1.9,0.6,0.85
MAPI-2506,2,2.5,0.6,2,0.7,2.3,1.1,0.85
MAPI-2508,2,2.5,0.8,2,0.7,2.3,1.1,0.85
MAPI-2510,2,2.5,1,2,0.7,2.3,1.1,0.85
MAPI-2512,2,2.5,1.2,2,0.7,2.3,1.1,0.85
MAPI-3010,3,3,1,3,1.2,3.4,0.8,1.3
MAPI-3012,3,3,1.2,3,1.2,3.4,0.8,1.3
MAPI-3015,3,3,1.5,3,1.2,3.4,0.8,1.3
MAPI-3020,3,3,2,3,1.2,3.4,0.8,1.3
MAPI-4020,4.1,4.1,2.1,4.1,1.25,3.7,1.39,0.98
MAPI-4030,4.1,4.1,3.1,4.1,1.25,3.7,1.39,0.98
MAPI-5020,5.4,5.4,2.1,5.4,1.6,5.6,2.2,1.7
MAPI-5030,5.4,5.4,3.1,5.4,1.6,5.6,2.2,1.7
